Date,Temp_Max,Temp_Avg,Temp_Min,Dew_Point_Max,Dew_Point_Avg,Dew_Point_Min,Humidity_Max,Humidity_Avg,Humidity_Min,Wind_Speed_Max,Wind_Speed_Avg,Wind_Speed_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Precipitation
2/1/2021,43,34.1,24,29,25.4,21,91,72.2,49,8,2.9,0,25.7,25.6,25.6,0
2/2/2021,58,48.2,34,37,30.5,24,73,51.6,39,15,6.9,0,25.6,25.5,25.4,0
2/3/2021,50,40.5,31,37,29.7,18,82,65.6,54,22,14,5,25.5,25.4,25.3,0
2/4/2021,36,31.5,25,25,20.5,15,82,65.1,43,14,5.5,0,25.7,25.6,25.5,0
2/5/2021,38,33.4,28,31,26.5,17,92,78.1,44,9,4.7,0,25.6,25.5,25.4,0
2/6/2021,48,36.5,25,31,24.1,18,92,64.5,36,9,4.9,0,25.6,25.5,25.3,0.01
2/7/2021,53,39.5,25,26,20,11,81,50.5,19,15,5.5,0,25.4,25.3,25.3,0
2/8/2021,55,44.3,36,26,16.4,1,62,36,12,14,5.8,0,25.4,25.3,25.3,0
2/9/2021,43,38.5,36,36,30.1,21,93,73.1,42,15,4.7,0,25.5,25.4,25.4,0
2/10/2021,52,41,36,36,32,26,97,73.7,38,7,2.3,0,25.5,25.4,25.4,0
2/11/2021,53,43,32,29,27.3,25,85,56.2,35,10,3.3,0,25.5,25.4,25.3,0
2/12/2021,46,42,39,39,35.8,32,93,79,63,15,6.8,0,25.3,25.3,25.2,0.14
2/13/2021,39,35.4,31,36,33.1,26,100,91.3,82,29,7.7,0,25.3,25.1,25,0.12
2/14/2021,34,29.6,26,26,21.5,16,86,72.4,56,29,10.3,3,25.4,25.3,25.2,0.45
2/15/2021,34,30.8,26,31,27,21,93,86,74,13,4.1,0,25.4,25.3,25.2,0
2/16/2021,39,33.1,30,34,30,26,100,89.3,79,18,7.4,0,25.4,25.3,25.2,0.01
2/17/2021,34,28.9,23,27,25.6,19,93,86.3,64,25,12,0,25.6,25.4,25.4,0.15
2/18/2021,34,26.4,19,30,19.7,16,93,77.6,50,10,4.2,0,25.8,25.7,25.6,0
2/19/2021,46,36.5,29,31,22.9,18,79,59,39,10,5.2,0,25.7,25.6,25.4,0.01
2/20/2021,43,36.7,31,33,26.3,21,89,67.4,43,20,11.1,0,25.6,25.5,25.4,0
2/21/2021,39,32.4,28,27,21.2,15,93,65.5,39,22,8.5,0,25.9,25.8,25.7,0
2/22/2021,32,29.1,26,23,20.8,19,75,71.4,59,8,3.8,0,25.9,25.9,25.9,0
2/23/2021,47,39.7,28,27,21,14,69,48.9,29,22,10.6,0,25.6,25.6,25.6,0
2/24/2021,39,30.8,22,27,19.4,12,86,64.3,35,26,10.8,0,25.7,25.6,25.5,0
2/25/2021,35,29.1,20,18,12.5,4,75,52,28,15,5.4,0,25.8,25.7,25.5,0
2/26/2021,44,34.3,25,25,16.6,11,82,51,26,21,7.5,0,25.5,25.4,25.2,0
2/27/2021,33,28,24,22,17.1,13,88,65,45,20,8.5,0,25.6,25.4,25.3,0
2/28/2021,35,25.7,21,22,17.9,12,89,74.1,39,10,6,0,25.8,25.7,25.6,0
,,,,,,,,,,,,,,,,
1/1/2021,33,29.3,22,27,23.8,16,89,79.9,66,14,5,0,25.7,25.6,25.6,0
1/2/2021,34,26,19,22,18.8,15,92,75.5,56,7,3.7,0,25.7,25.6,25.6,0
1/3/2021,34,24.4,18,28,21.6,14,93,89.4,78,8,2.1,0,25.7,25.6,25.6,0
1/4/2021,46,23.4,17,33,20.1,14,96,87.5,58,18,3,0,25.7,25.6,25.4,0.01
1/5/2021,42,35.2,24,32,25.4,18,92,69.4,41,20,9.8,0,25.8,25.6,25.4,0
1/6/2021,34,26.2,18,23,18.6,13,85,73.6,56,7,3.5,0,25.8,25.7,25.6,0.01
1/7/2021,41,28.2,18,25,20.5,15,92,74.7,45,7,3.3,0,25.7,25.7,25.6,0
